ID	Page	Number	Article	Text1	Variant1	Variant2	Variant3	Text2	__
4	1	1	1	Water	is to boil	is boiling	boils	at a temperature of 1000 C.	__
5	1	2	2	In some countries	there is	is	it is	very hot all the time.	__
6	1	3	3	In cold countries people wear thick clothes	to keeping	to keep	for to keep	warm.	__
7	1	4	4	In England people are always talking about	a weather	the weather	weather.	__
8	1	5	5	In some places	it rains	there rains	it raining	almost every day.	__
9	1	6	6	In deserts there isn’t	the	some	any	grass.	__
10	1	7	7	Places near the Equator have	a warm	the warm	warm	weather even in the cold season.	__
11	1	8	8	In England	coldest	the coldest	colder	time of year is usually from December to February.	__
12	1	9	9		The most	Most of	Most	people don’t know what it’s like in other countries.	__
13	1	10	10	Very	less	little	few	people can travel abroad.	__
14	1	11	11	Mohammed Ali	has won	won	is winning	his first world title fight in 1960.	__
15	1	12	12	After he	had won	have won	was winning	an Olympic gold medal he became a professional boxer.	__
16	1	13	13	His religious beliefs	have made him	made him to	made him	change his name when ha became	champion.	__
18	1	14	14	If he	has	would have	had	lost his first fight with Sonny Liston, no one would have been surprised.	__
19	1	15	15	He has traveled a lot	both	and	or	as a boxer and as a world - famous personality.	__
20	1	16	16	He is very well known	all in	all over	in all	the world.	__
21	1	17	17	Many people	is believing	are believing	believe	he was the greatest boxer of all time.	__
22	1	18	18	To be the best	from	in	of	the world is not easy.	__
23	1	19	19	Like any top sportsman Ali	had to	must	should	train very hard.	__
24	1	20	20	Even though he has now lots his title, people	would	will	did	always remember him as a champion.	__
25	1	21	21	The history of 	aeroplane	the aeroplane	an aeroplane	is 	__
26	1	22	22	 	quite a	a quite	quite	short one. For many centuries men 	__
27	1	23	23	 	are trying	try	had tried	 to fly, but with 	__
28	1	24	24	 	little	few	a little	success. In the 19 th century a few people 	__
29	1	25	25	succeeded 	to fly	in flying	into flying	in balloons. But it wasn’t until 	__
30	1	26	26	the beginning of	this	next	that	 century that anybody	__
31	1	27	27		were	is	was	able to fly in a machine	__
32	1	28	28		who	which	what	was heavier that air, in other words, in	__
33	1	29	29	 	who	which	what	we now call a «plane». The first people to achieve	__
34	1	30	30	«powered flight» were the Wright brothers.	His	Their	Theirs	was the machine which was the forerunner of the Jumbo jets	__
36	1	31 	31	and supersonic airliners that are	such	such a	so	common 	__
37	1	32 	32	sight today. They	could	should	couldn’t	hardly have imagined that in 1969, 	__
38	1	33 	33		not much	not many	no much	more than half a century later ,	__
39	1	34 	34	a man	will be	had been	would be	landed on the moon.	__
40	1	35 	35	Already	a man	man	the man	is taking the first steps towards the stars.	__
41	1	36 	36	Although space satellites have existed	since	during	for	less	__
42	1	37 	37	than forty years , we are now dependent	from	of	on	them for all 	__
43	1	38 	38	kinds of	informations	information	an information	. Not only 	__
44	1	39 	39		are they	they are	there are	being used for scientific research in 	__
45	1	40 	40	space, but also to see what kind of weather	is coming	comes	coming	.	__
46	1	41 	41	By 1998 there	would	must	will	have been satellites in space for forty 	__
47	1	42 	42	years and the «space superpowers » are planning to	have	make	let	__
48	1	43 	43	massive space stations built. When these	will be	are	will have been	__
49	1	44 	44	completed it will be the first time	when	where	that	astronauts will be	__
